"","Elevation","North","East","WorE","bio5Warmest","bio7temprange","bio12precip","bio15precipseasonal","PSVs","PSRs","PSEs","SR","SR.phy.diff","dispersion","NRI","NRIdispersion","trait.NRI","trait.PSV","trait.NRIdispersion","total.branch.length"
"A2",198.25,26.97898333,92.921975,"E",319,219,2389,86,0.69416844525806,23.601727138774,0.537841347691705,34,10.398272861226,"n",-1.41793289179972,"n",-1.10707504213093,0.786409988708281,"Null",986.716524210389
"A3",734.25,27.00626667,92.404575,"E",289,223,2209,90,0.651255701351359,28.6552508594598,0.493267091748855,44,15.3447491405402,"n",-0.716924401312592,"n",-0.023138508647023,0.756187747380532,"Null",1211.13674869253
"A4",1243.25,27.02749583,92.41040834,"E",289,223,2209,90,0.586373384789796,28.1459224699102,0.45464929307733,48,19.8540775300898,"n",0.706626200860993,"n",1.02458177458688,0.73348674829906,"Null",1206.44423257002
"A6",2629,27.14773334,92.45937917,"E",232,250,1361,90,0.491625882033705,19.1734093993145,0.385105035364369,39,19.8265906006855,"u",2.36004439514077,"u",5.92867557669733,0.61296456557457,"Clustered",938.000216050565
"A7",2340.25,27.09197917,92.40856667,"E",229,249,1357,90,0.522331210197482,18.2815923569119,0.402821673183747,35,16.7184076430881,"n",1.69916814905393,"n",4.18869402997371,0.642604450931361,"Clustered",868.216227524117
"A8",300,26.96138,93.01216,"E",320,219,2445,85,0.64217243578293,17.9808282019221,0.568705940915249,28,10.0191717980779,"n",-0.399877065907726,"n",-1.08385692092275,0.787228030869374,"Null",897.292763505729
"B1",1932.25,27.061125,88.77066667,"E",220,182,2603,108,0.444428512936293,19.1104260562606,0.379608260575635,43,23.8895739437394,"u",3.54885517342216,"u",4.02645403597251,0.661921094123637,"Clustered",918.723285713633
"B2",164.25,26.62938334,89.58295834,"E",322,221,3266,111,0.692689664412439,22.166069261198,0.559641579085753,32,9.83393073880196,"n",-1.30854738474341,"n",-0.35125074884445,0.765262131113864,"Null",976.938522598886
"B3",153.5,26.63125,89.58324167,"E",311,207,4209,106,0.729692433179232,23.3501578617354,0.643731982920808,32,8.64984213826459,"n",-1.96918415639751,"o",-0.53401577692808,0.77066632904211,"Null",993.779761644459
"B4",209.75,26.8964225,88.8559325,"E",308,206,3597,111,0.734209191793342,20.5578573702136,0.672190902709415,28,7.44214262978642,"n",-1.72113897244848,"n",-0.790410142072944,0.780123748648933,"Null",904.544833925034
"B5",1970.25,27.063185,88.77039,"E",220,182,2603,108,0.46667989644181,17.267156168347,0.391497317671326,37,19.732843831653,"u",2.80861911318421,"u",3.43699801645713,0.670895056673473,"Clustered",831.247059426182
