Species,U1,U2
Acridotheres_tristis,0,4
Aegithina_tiphia,0,4
Aethopyga_siparaja,0,2
Alcippe_nipalensis,2,0
Copsychus_malabaricus,4,0
Copsychus_saularis,10,6
Coracina_melanoptera,0,4
Culicicapa_ceylonensis,6,0
Cyornis_rubeculoides,20,6
Dendrocopos_canicapillus,4,0
Dendrocopos_macei,2,0
Dicrurus_aeneus,2,0
Dicrurus_hottentottus,0,2
Dinopium_benghalense,0,2
Eumyias_thalassinus,2,0
Ficedula_westermanni,6,0
Garrulax_albogularis,2,0
Hemipus_picatus,4,0
Hemixos_flavala,2,0
Hypothymis_azurea,0,2
Hypsipetes_leucocephalus,4,0
Leiothrix_lutea,12,0
Megalaima_asiatica,4,0
Megalaima_haemacephala,0,2
Megalaima_virens,2,0
Minla_cyanouroptera,2,0
Muscicapa_dauurica,4,0
Cinnyris_asiaticus,0,2
Ocyceros_birostris,0,2
Parus_major,0,2
Pellorneum_ruficeps,2,0
Pericrocotus_speciosus,2,2
Picumnus_innominatus,2,0
Picus_canus,4,2
Picus_chlorolophus,0,2
Pomatorhinus_erythrogenys,2,0
Pomatorhinus_schisticeps,2,0
Prinia_hodgsonii,2,8
Psittacula_himalayana,4,0
Psittacula_krameri,0,2
Pycnonotus_cafer,2,8
Rhipidura_albicollis,2,0
Phylloscopus_xanthoschistos,10,0
Sitta_cinnamoventris,8,4
Sitta_frontalis,6,6
Stachyridopsis_pyrrhops,6,0
Streptopelia_chinensis,0,2
Sturnia_malabarica,2,6
Surniculus_lugubris,2,0
Terpsiphone_paradisi,4,10
Treron_phoenicopterus,0,2
Treron_sphenurus,4,0
Erpornis_zantholeuca,2,0
Zoothera_citrina,2,2
Zosterops_palpebrosus,4,4
Caprimulgus_macrurus,2,2
Picus_xanthopygaeus,0,2
Cettia_pallidipes,4,2
Nyctyornis_athertoni,2,0
Pericrocotus_roseus,6,8
Psittacula_cyanocephala,2,4
