Species,MA1
Schoeniparus_castaneceps,4
Alophoixus_flaveolus,2
Brachypteryx_leucophrys,6
Chalcophaps_indica,2
Chloropsis_hardwickii,2
Culicicapa_ceylonensis,4
Dicaeum_minullum,2
Garrulax_leucolophus,6
Hypsipetes_mcclellandi,8
Leiothrix_argentauris,8
Megalaima_franklinii,10
Megalaima_virens,4
Niltava_grandis,6
Niltava_macgrigoriae,8
Orthotomus_sutorius,2
Pellorneum_ruficeps,2
Phylloscopus_xanthoschistos,6
Picumnus_innominatus,2
Picus_flavinucha,2
Pteruthius_flaviscapis,2
Spelaeornis_formosus,4
Stachyridopsis_chrysaea,2
Stachyridopsis_ruficeps,2
Zoothera_citrina,2
Abroscopus_albogularis,2
