,x
1,Macropygia_unchall
2,Streptopelia_chinensis
3,Streptopelia_senegalensis
4,Columba_hodgsonii
5,Columba_pulchricollis
6,Columba_leuconota
7,Streptopelia_orientalis
8,Chalcophaps_indica
9,Treron_curvirostra
10,Treron_apicauda
11,Treron_sphenurus
12,Treron_phoenicopterus
13,Ducula_badia
14,Surniculus_lugubris
15,Hierococcyx_sparverioides
16,Hierococcyx_varius
17,Hierococcyx_nisicolor
18,Cuculus_saturatus
19,Cuculus_canorus
20,Cuculus_micropterus
21,Cuculus_poliocephalus
22,Chrysococcyx_maculatus
23,Eudynamys_scolopaceus
24,Phaenicophaeus_tristis
25,Ceyx_erithaca
26,Merops_leschenaulti
27,Merops_orientalis
28,Megalaima_haemacephala
29,Megalaima_asiatica
30,Megalaima_lineata
31,Megalaima_zeylanica
32,Megalaima_franklinii
33,Megalaima_virens
34,Picumnus_innominatus
35,Sasia_ochracea
36,Blythipicus_pyrrhotis
37,Chrysocolaptes_lucidus
38,Micropternus_brachyurus
39,Picus_flavinucha
40,Picus_chlorolophus
41,Picus_squamatus
42,Picus_canus
43,Dinopium_shorii
44,Dinopium_benghalense
45,Dendrocopos_canicapillus
46,Dendrocopos_auriceps
47,Dendrocopos_himalayensis
48,Dendrocopos_darjellensis
49,Dendrocopos_macei
50,Hypopicus_hyperythrus
51,Dendrocopos_cathpharius
52,Aceros_undulatus
53,Aceros_nipalensis
54,Anthracoceros_albirostris
55,Ocyceros_birostris
56,Buceros_bicornis
57,Harpactes_erythrocephalus
58,Harpactes_wardi
59,Strix_nivicola
60,Glaucidium_radiatum
61,Glaucidium_cuculoides
62,Glaucidium_brodiei
63,Loriculus_vernalis
64,Psittacula_alexandri
65,Psittacula_eupatria
66,Psittacula_krameri
67,Psittacula_himalayana
68,Microhierax_caerulescens
69,Megalaima_australis
