"","Macropygia_unchall","Columba_leuconota","Streptopelia_orientalis","Chalcophaps_indica","Treron_curvirostra","Treron_phoenicopterus","Ducula_badia","Surniculus_lugubris","Chrysococcyx_maculatus","Eudynamys_scolopaceus","Phaenicophaeus_tristis","Ceyx_erithaca","Megalaima_haemacephala","Megalaima_asiatica","Megalaima_virens","Picumnus_innominatus","Sasia_ochracea","Blythipicus_pyrrhotis","Chrysocolaptes_lucidus","Micropternus_brachyurus","Picus_flavinucha","Dendrocopos_canicapillus","Dendrocopos_auriceps","Dendrocopos_cathpharius","Anthracoceros_albirostris","Ocyceros_birostris","Buceros_bicornis","Harpactes_erythrocephalus","Harpactes_wardi","Strix_nivicola","Glaucidium_brodiei","Loriculus_vernalis","Microhierax_caerulescens","Spelaeornis_formosus","Gracula_religiosa","Enicurus_maculatus","Cinclidium_frontale","Myophonus_caeruleus","Myiomela_leucura","Ficedula_hyperythra","Ficedula_tricolor","Muscicapella_hodgsoni","Ficedula_strophiata","Saxicola_ferreus","Luscinia_pectoralis","Hodgsonius_phaenicuroides","Luscinia_brunnea","Ficedula_monileger","Niltava_macgrigoriae","Eumyias_thalassinus","Copsychus_malabaricus","Copsychus_saularis","Zoothera_citrina","Zoothera_dauma","Zoothera_mollissima","Cochoa_purpurea","Sitta_leucopsis","Troglodytes_troglodytes","Certhia_familiaris","Orthotomus_sutorius","Prinia_crinigera","Bradypterus_thoracicus","Abroscopus_superciliaris","Phyllergates_cucullatus","Phylloscopus_tytleri","Phylloscopus_affinis","Seicercus_castaniceps","Grammatoptila_striata","Cutia_nipalensis","Turdoides_striata","Garrulax_leucolophus","Liocichla_phoenicea","Trochalopteron_subunicolor","Alcippe_nipalensis","Malacocincla_abbotti","Napothera_epilepidota","Pellorneum_ruficeps","Schoeniparus_rufogularis","Macronous_gularis","Spelaeornis_caudatus","Stachyris_nigriceps","Pomatorhinus_erythrogenys","Yuhina_nigrimenta","Zosterops_palpebrosus","Fulvetta_vinipectus","Lioparus_chrysotis","Pycnonotus_striatus","Hemixos_flavala","Hypsipetes_leucocephalus","Hypsipetes_mcclellandi","Alophoixus_flaveolus","Pycnonotus_flaviventris","Cephalopyrus_flammiceps","Melanochlora_sultanea","Sylviparus_modestus","Culicicapa_ceylonensis","Chelidorhynx_hypoxantha","Irena_puella","Chloropsis_hardwickii","Chloropsis_aurifrons","Passer_rutilans","Petronia_xanthocollis","Prunella_collaris","Prunella_strophiata","Dicaeum_agile","Arachnothera_magna","Cinnyris_asiaticus","Aethopyga_ignicauda","Aethopyga_siparaja","Regulus_regulus","Erpornis_zantholeuca","Pteruthius_melanotis","Pteruthius_xanthochlorus","Oriolus_kundoo","Aegithina_tiphia","Pericrocotus_cinnamomeus","Coracina_macei","Dicrurus_caerulescens","Dicrurus_remifer","Dicrurus_aeneus","Rhipidura_albicollis","Dendrocitta_formosae","Dendrocitta_vagabunda","Nucifraga_caryocatactes","Psarisomus_dalhousiae","Pitta_brachyura","Megalaima_australis","Streptopelia_chinensis","Columba_hodgsonii","Treron_apicauda","Hierococcyx_sparverioides","Cuculus_saturatus","Merops_leschenaulti","Megalaima_lineata","Picus_chlorolophus","Dinopium_shorii","Dendrocopos_himalayensis","Aceros_undulatus","Glaucidium_radiatum","Sturnia_malabarica","Tarsiger_rufilatus","Ficedula_subrubra","Ficedula_sapphira","Phoenicurus_frontalis","Monticola_rufiventris","Brachypteryx_leucophrys","Cyornis_unicolor","Niltava_sundara","Muscicapa_ferruginea","Turdus_rubrocanus","Sitta_cinnamoventris","Sitta_frontalis","Certhia_himalayana","Prinia_socialis","Aegithalos_niveogularis","Cettia_brunnescens","Tesia_castaneocoronata","Tesia_olivea","Phylloscopus_maculipennis","Phylloscopus_humei","Phylloscopus_cantator","Phylloscopus_trochiloides","Seicercus_whistleri","Ianthocincla_ocellata","Garrulax_pectoralis","Leiothrix_argentauris","Actinodura_nipalensis","Actinodura_egertoni","Minla_ignotincta","Heterophasia_pulchella","Trochalopteron_imbricatum","Trochalopteron_variegatum","Schoeniparus_cinerea","Stachyridopsis_rufifrons","Pomatorhinus_ferruginosus","Yuhina_bakeri","Paradoxornis_fulvifrons","Conostoma_oemodium","Pnoepyga_albiventer","Pycnonotus_cafer","Parus_rufonuchalis","Parus_monticolus","Emberiza_fucata","Pyrrhula_aurantiaca","Carpodacus_rubescens","Carpodacus_erythrinus","Carpodacus_thura","Mycerobas_icterioides","Anthus_roseatus","Dicaeum_cruentatum","Aethopyga_saturata","Pteruthius_rufiventer","Oriolus_xanthornus","Tephrodornis_gularis","Pericrocotus_solaris","Coracina_melanoptera","Dicrurus_paradiseus","Dicrurus_leucophaeus","Hypothymis_azurea","Urocissa_flavirostris","Corvus_japonensis","Psittacula_alexandri"
"A2",0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,2,4,10,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,5,0,2,0,0,0
"A3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,8,0,2,2,0,14,0,10,0,2,0,0,0,0,6,2,0,10,0,0,2,0,4,0,2,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0
"A4",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,2,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,12,2,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,4,0,0,8,2,2,0,0,0,2,0,0,0,0,0,0,0,0,18,0,2,0,2,30,0,12,8,2,0,0,30,10,2,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,2,0,0,0,0
"A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,6,0,2,0,2,0,0,0,14,0,14,2,28,4,22,0,0,0,0,8,10,2,0,2,2,0,0,18,0,0,0,0,0,2,0,2,0,0,0,0,0,0,26,0,0,0,2,0,0,2,0,0,0,0
"A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,6,0,0,8,0,6,0,0,2,0,0,0,0,0,16,6,6,0,28,2,12,0,5,0,0,8,4,4,0,2,2,0,0,14,0,0,0,0,0,4,0,2,0,0,0,0,0,0,26,0,0,0,2,0,0,0,0,2,0,0
"A8",0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,2,0,0,6,8,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,4,0,0,0
"B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,14,0,2,2,0,0,0,2,0,4,24,2,0,24,0,22,0,6,0,4,2,0,2,0,2,10,2,0,20,0,0,6,0,0,2,0,0,0,0,0,0,0,2,22,2,0,0,0,0,0,0,0,2,0,0
"B2",0,0,0,2,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,12,0,0,0,0,0,0,0,0,4,0,0,6,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,2,0,4,0,4,0,0,0
"B3",0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,10,0,0,0,0,0,0,0,0,4,0,0,6,8,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,2,0,2,0,0,1
"B4",0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,6
