"","Chalcophaps_indica","Ducula_badia","Chrysococcyx_maculatus","Eudynamys_scolopaceus","Phaenicophaeus_tristis","Ceyx_erithaca","Megalaima_haemacephala","Picumnus_innominatus","Sasia_ochracea","Strix_nivicola","Glaucidium_brodiei","Loriculus_vernalis","Microhierax_caerulescens","Spelaeornis_formosus","Troglodytes_troglodytes","Bradypterus_thoracicus","Culicicapa_ceylonensis","Chelidorhynx_hypoxantha","Irena_puella","Regulus_regulus","Erpornis_zantholeuca","Aegithina_tiphia","Rhipidura_albicollis","Psarisomus_dalhousiae","Pitta_brachyura","Megalaima_australis","Macropygia_unchall","Treron_curvirostra","Surniculus_lugubris","Merops_leschenaulti","Megalaima_asiatica","Blythipicus_pyrrhotis","Dendrocopos_canicapillus","Aceros_undulatus","Harpactes_erythrocephalus","Glaucidium_radiatum","Sturnia_malabarica","Enicurus_maculatus","Zoothera_citrina","Sitta_leucopsis","Certhia_himalayana","Orthotomus_sutorius","Aegithalos_niveogularis","Abroscopus_superciliaris","Phylloscopus_maculipennis","Grammatoptila_striata","Alcippe_nipalensis","Stachyridopsis_rufifrons","Yuhina_bakeri","Fulvetta_vinipectus","Pnoepyga_albiventer","Pycnonotus_striatus","Cephalopyrus_flammiceps","Chloropsis_hardwickii","Passer_rutilans","Emberiza_fucata","Anthus_roseatus","Prunella_collaris","Dicaeum_agile","Arachnothera_magna","Pteruthius_rufiventer","Oriolus_kundoo","Tephrodornis_gularis","Pericrocotus_solaris","Coracina_melanoptera","Dicrurus_caerulescens","Hypothymis_azurea","Dendrocitta_formosae","Psittacula_alexandri"
"A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,2,2,0,6,6,0,2,0,0,2,34,0,0,0,2,0,6,0,3,14,12,0,0,0,12,0,4,0,0,0,0,6,8,0,0,2,0,0,5,2,0,0
"A3",0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,2,0,6,0,0,0,0,0,0,2,1,0,2,4,0,2,1,0,0,24,0,0,0,0,0,0,14,9,12,40,6,0,0,18,2,2,0,0,0,0,2,4,0,0,2,2,0,4,0,2,0
"A4",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,12,2,0,0,0,2,0,0,6,4,0,1,0,0,0,22,0,2,0,0,0,8,20,62,38,12,6,4,0,4,0,0,0,0,0,0,0,7,8,0,0,3,0,4,0,2,0
"A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,22,0,2,2,0,0,14,90,22,2,0,18,0,0,0,4,0,0,2,0,0,0,26,4,0,0,2,0,2,0,1,0
"A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,28,0,2,0,0,0,22,64,23,2,0,14,0,0,0,4,0,0,2,0,0,0,26,4,0,0,2,0,0,0,2,0
"A8",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,4,2,0,0,0,2,2,10,0,2,0,8,0,0,0,0,4,12,0,0,0,16,0,2,0,0,0,0,4,6,0,2,0,2,0,0,4,2,0
"B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,48,2,2,0,0,2,30,66,20,10,2,20,0,6,0,4,0,0,0,0,0,2,22,6,0,0,0,0,0,0,2,0
"B2",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,4,4,0,2,0,0,0,16,0,4,0,2,0,0,0,0,8,14,0,0,0,22,2,0,0,0,0,0,8,2,0,0,4,2,0,4,4,0,0
"B3",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,4,6,0,2,0,0,2,16,0,0,0,2,0,0,0,0,6,10,0,0,0,18,4,4,0,0,0,0,2,0,0,4,0,2,0,4,2,0,1
"B4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,8,0,2,0,2,2,18,0,6,0,2,0,0,0,8,6,4,0,0,0,8,0,2,0,0,0,0,0,0,0,0,2,2,0,4,0,0,6
"B5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,40,2,0,0,0,0,12,42,22,14,6,24,2,2,0,2,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0
"D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,32,4,0,0,0,2,0,0,10,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0
"D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
"G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,12,48,14,0,0,22,14,14,0,6,0,0,6,0,0,0,2,0,0,0,2,0,0,0,4,0
"J1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,12,0,2,2,2,0,2,2,0,2,0,8,2,0,0,18,0,0,2,6,2,6,0,0,0,24,2,0,12,0,0,0,0,6,0,2,3,2,0,2,2,0,5
"J2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,0,4,0,22,2,0,16,0,6,0,28,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"J4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,4,0,0,2,0,36,0,2,8,2,2,0,16,10,0,0,2,0,0,6,12,0,6,2,0,0,0,0,0,0,0,6,0,0,0,0,2
"J5",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,8,0,2,0,0,0,0,14,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4
"J6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,2,0,0,4,0,0,0,0,10,2,0,0,8,0,0,0,4,4,6,14,0,0,20,10,0,18,0,0,0,0,4,0,0,2,4,0,0,0,0,0
"K1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,26,2,0,2,0,0,0,74,4,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0
"K2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,36,2,2,4,0,0,0,74,2,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0
"K4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0
"K5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,30,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
"K6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,52,2,0,6,0,0,2,30,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,2,0,0,0,68,0,0,0,0,0,0,0,10,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0
"M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,36,2,0,10,0,0,6,52,6,0,0,0,0,2,0,8,0,0,6,0,0,0,0,0,0,0,4,0,0,0,2,0
"M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,2,0,10,2,66,8,0,0,0,0,2,0,8,0,0,20,0,4,0,0,0,0,0,2,0,0,0,0,0
"M3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,46,0,2,2,0,0,2,44,3,0,0,0,0,12,0,12,0,0,4,0,0,0,0,0,0,0,2,0,2,2,4,0
"M4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"N1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,2,0,10,0,0,14,74,18,0,0,20,4,14,0,4,0,0,2,0,0,0,4,0,0,0,4,0,0,0,2,0
"N2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,2,0,0,2,52,4,0,0,0,0,0,0,22,0,0,6,0,0,0,10,0,0,0,2,0,0,0,0,0
"N3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,56,6,0,0,4,2,6,0,6,0,0,4,4,0,0,0,0,0,0,2,0,0,0,0,0
"S1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,14,44,22,8,4,16,0,2,2,4,0,0,0,0,0,2,14,12,0,0,0,0,0,0,0,0
"U3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,4,2,0,2,0,0,2,12,0,0,0,24,0,0,0,3,2,0,6,0,0,8,4,2,6,0,0,0,8,4,0,2,0,3,2,2,2,2,2
"U4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,2,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0
