"","Eudynamys_scolopaceus","Phaenicophaeus_tristis","Ceyx_erithaca","Picumnus_innominatus","Sasia_ochracea","Strix_nivicola","Glaucidium_brodiei","Microhierax_caerulescens","Spelaeornis_formosus","Regulus_regulus","Psarisomus_dalhousiae","Pitta_brachyura","Macropygia_unchall","Chalcophaps_indica","Surniculus_lugubris","Merops_leschenaulti","Megalaima_haemacephala","Blythipicus_pyrrhotis","Aceros_undulatus","Harpactes_erythrocephalus","Glaucidium_radiatum","Sturnia_malabarica","Sitta_leucopsis","Troglodytes_troglodytes","Orthotomus_sutorius","Aegithalos_niveogularis","Pnoepyga_albiventer","Pycnonotus_striatus","Cephalopyrus_flammiceps","Culicicapa_ceylonensis","Irena_puella","Passer_rutilans","Dicaeum_agile","Erpornis_zantholeuca","Oriolus_kundoo","Aegithina_tiphia","Pericrocotus_solaris","Dicrurus_caerulescens","Loriculus_vernalis"
"A2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,6,2,0,0,36,0,0,2,35,0,12,0,0,8,0,14,2,0,4,0,7,0
"A3",0,0,0,2,1,0,0,0,0,0,0,0,0,4,1,0,2,4,2,1,0,24,0,0,0,81,0,18,2,4,4,0,6,6,0,2,2,6,0
"A4",0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,6,4,1,0,0,22,2,0,0,150,0,4,0,6,0,0,7,8,0,0,3,18,0
"A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,22,2,2,0,146,0,0,4,20,0,2,26,4,0,0,2,3,0
"A7",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,28,2,0,0,125,0,0,4,18,0,2,26,4,0,0,2,2,0
"A8",0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,2,12,2,0,8,16,0,16,0,0,4,0,10,2,2,0,2,6,0
"B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,50,2,0,0,150,6,0,4,2,0,0,24,6,0,0,0,2,0
"B2",0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,4,4,2,0,0,16,4,0,2,22,0,22,2,0,0,0,10,2,0,6,2,8,0
"B3",0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,8,6,2,0,0,18,0,0,2,16,0,18,4,0,6,0,2,0,4,0,2,6,1
"B4",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,8,2,0,2,20,6,0,2,18,0,8,0,0,4,0,0,0,0,2,2,4,6
"B5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,42,0,0,0,122,2,0,2,4,0,0,14,0,0,0,0,0,0
"D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,0,0,10,0,0,10,6,0,0,0,0,0,0
"D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,0,0
"G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,110,14,0,6,0,0,6,2,0,0,0,2,4,0
"J1",0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,2,2,2,2,0,2,10,0,0,18,16,0,24,2,0,0,12,6,0,2,7,2,12,5
"J2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,0,4,24,0,16,0,38,0,0,24,4,0,0,0,0,0,0,2,2,0
"J4",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,4,0,0,2,36,2,8,2,30,0,6,12,2,0,8,0,0,0,0,6,0,2
"J5",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,10,2,0,0,14,0,2,8,0,0,0,2,0,0,0,0,2,4
"J6",0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,4,0,0,0,12,0,0,8,28,0,20,10,0,0,18,4,0,0,4,4,0,0
"K1",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,28,0,6,0,78,0,0,12,0,0,6,0,0,0,0,0,2,0
"K2",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,38,2,8,0,76,0,0,14,0,0,2,0,0,0,0,2,2,0
"K4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0
"K5",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,32,0,6,6,0,0,0,0,0,0,0,4,2,0
"K6",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,8,0,0,0,54,0,6,0,32,0,0,12,0,0,0,0,0,0,0,2,2,0
"L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,4,0,68,0,0,10,0,0,16,0,0,0,0,0,0,0
"M1",0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,4,0,0,0,38,0,10,0,64,2,0,8,6,0,6,0,0,0,0,4,2,0
"M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,4,0,86,2,0,8,10,0,24,0,0,0,0,2,0,0
"M3",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,46,2,2,0,49,12,0,12,0,0,4,0,0,0,0,2,8,0
"M4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0
