"","Phaenicophaeus_tristis","Ceyx_erithaca","Strix_nivicola","Microhierax_caerulescens","Regulus_regulus","Psarisomus_dalhousiae","Pitta_brachyura","Macropygia_unchall","Surniculus_lugubris","Merops_leschenaulti","Megalaima_haemacephala","Picumnus_innominatus","Aceros_undulatus","Harpactes_erythrocephalus","Glaucidium_radiatum","Spelaeornis_formosus","Orthotomus_sutorius","Erpornis_zantholeuca","Loriculus_vernalis"
"A2",0,0,0,0,0,0,0,2,2,0,6,6,2,0,0,36,71,13,0
"A3",0,0,0,0,0,0,0,4,1,0,2,7,2,1,0,24,115,16,0
"A4",0,0,0,0,0,2,0,4,0,0,6,4,1,0,2,24,167,29,0
"A6",0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,26,198,9,0
"A7",0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,30,175,8,0
"A8",2,0,0,0,0,0,0,4,0,0,4,2,0,0,2,14,54,12,0
"B1",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,52,186,8,0
"B2",0,2,0,0,0,0,0,2,2,0,4,4,2,0,0,20,58,18,0
"B3",0,0,0,2,0,0,0,6,0,0,8,6,2,0,0,18,48,12,1
"B4",0,0,0,0,0,0,0,6,0,0,2,8,2,0,2,26,32,8,6
"B5",0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,42,144,0,0
"D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,66,0,0
"D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0
"G1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,138,6,0
"J1",0,0,0,0,0,0,0,12,2,2,2,2,2,0,2,10,78,23,5
"J2",0,0,0,0,0,0,0,0,0,4,2,4,2,0,4,40,66,4,0
"J4",0,0,0,0,0,0,0,6,0,0,2,4,0,0,2,46,60,6,2
"J5",0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,12,26,2,4
"J6",0,0,0,0,0,0,1,4,0,2,0,4,0,0,0,12,88,8,0
"K1",0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,34,96,2,0
"K2",0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,48,92,4,0
"K4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,0,0
"K5",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,44,6,0
"K6",0,0,0,0,2,0,0,2,0,0,0,8,0,0,0,60,44,4,0
"L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,94,0,0
"M1",0,0,0,0,2,0,0,4,0,0,0,4,0,0,0,48,86,6,0
"M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,130,2,0
"M3",0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,50,77,10,0
"M4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0
"N1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,170,6,0
"N2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,96,2,0
"N3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,94,2,0
"S1",0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,20,136,16,0
"U3",0,0,0,0,0,0,0,2,1,0,6,2,2,0,0,14,67,15,2
"U4",0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,6,8,8,0
