Name,MassMissingValuesAdded
Abroscopus_albogularis,5
Abroscopus_schisticeps,4.7
Abroscopus_superciliaris,6.5
Acanthis_flavirostris,15.4
Aceros_nipalensis,2385
Aceros_undulatus,2232.5
Acridotheres_fuscus,82.8
Acridotheres_ginginianus,72
Acridotheres_grandis,98
Acridotheres_tristis,116.6
Acrocephalus_concinens,8.3
Acrocephalus_stentoreus,24.2
Actinodura_egertoni,36
Actinodura_nipalensis,44
Actinodura_waldeni,47.5
Aegithalos_concinnus,6.1
Aegithalos_iouschistos,7
Aegithalos_leucogenys,7
Aegithalos_niveogularis,7.8
Aegithina_tiphia,14.4
Aegolius_funereus,144
Aerodramus_brevirostris,12.6
Aethopyga_gouldiae,6.125
Aethopyga_ignicauda,8.2
Aethopyga_nipalensis,7
Aethopyga_saturata,5.3
Aethopyga_siparaja,6.7
Alauda_gulgula,26.3
Alcedo_atthis,35
Alcedo_hercules,64
Alcedo_meninting,20.6
Alcippe_nipalensis,15.8
Alcippe_poioicephala,20.7
Alophoixus_flaveolus,45.65
Amandava_amandava,9
Ammomanes_deserti,23.8
Ammomanes_phoenicurus,25.6
Anthracoceros_albirostris,786.75
Anthus_hodgsoni,21.3
Anthus_roseatus,21
Anthus_rufulus,20.7
Anthus_similis,25.3
Anthus_sylvanus,31
Anthus_trivialis,21.88
Apus_acuticauda,46.25330183
Apus_affinis,22.78
Apus_apus,37.6
Apus_pacificus,39.9
Arachnothera_longirostra,12.55
Arachnothera_magna,30.7
Artamus_fuscus,39.8
Athene_brama,115
Athene_noctua,172.75
Batrachostomus_hodgsoni,51
Blythipicus_pyrrhotis,132
Brachypteryx_hyperythra,16.2
Brachypteryx_leucophrys,15.8
Brachypteryx_montana,17.7
Bradypterus_luteoventris,13.2
Bradypterus_major,13.6492891
Bradypterus_mandelli,11.3
Bradypterus_thoracicus,10.8
Bubo_bengalensis,1100
Bubo_bubo,2781.25
Bubo_coromandus,NA
Bubo_nipalensis,1100
Bucanetes_mongolicus,28.63374665
Buceros_bicornis,2798.5
Cacomantis_merulinus,25.3
Cacomantis_passerinus,25.3
Cacomantis_sonneratii,33.8
Calandrella_acutirostris,20.25
Calandrella_raytal,18.5
Callacanthis_burtoni,29
Caprimulgus_affinis,82
Caprimulgus_asiaticus,42
Caprimulgus_europaeus,67
Caprimulgus_jotaka,84
Caprimulgus_macrurus,66.2
Carduelis_carduelis,16
Carduelis_spinoides,18.6
Carpodacus_edwardsii,26.5
Carpodacus_erythrinus,24
Carpodacus_grandis,33.5
Carpodacus_nipalensis,22.3
Carpodacus_pulcherrimus,19.2
Carpodacus_rhodochlamys,33.5
Carpodacus_rodochroa,17.875
Carpodacus_rodopeplus,23
Carpodacus_rubescens,24.15
Carpodacus_rubicilloides,42.05
Carpodacus_severtzovi,43.5
Carpodacus_thura,32.7
Carpodacus_vinaceus,22.15
Centropus_bengalensis,120
Centropus_sinensis,252
Cephalopyrus_flammiceps,7
Cercomela_fusca,12.7
Certhia_discolor,10.4
Certhia_familiaris,9
Certhia_himalayana,8.8
Certhia_nipalensis,11.1
Ceryle_lugubris,271.5
Ceryle_rudis,84.4
Cettia_brunnescens,5.95
Cettia_brunnifrons,7.5
Cettia_flavolivacea,8
Cettia_fortipes,10.4
Cettia_major,9.454257908
Cettia_pallidipes,8.49
Ceyx_erithaca,17.75
Chaetornisstriatus,NA
Chaimarrornis_leucocephalus,40.4
Chalcoparia_singalensis,8.2
Chalcophaps_indica,121
Chelidorhynx_hypoxantha,5.5
Chloropsis_aurifrons,32.5
Chloropsis_hardwickii,32.75
Chrysococcyx_maculatus,24
Chrysococcyx_xanthorhynchus,21
Chrysocolaptes_lucidus,142
Chrysomma_sinense,19.3
Cinclidium_frontale,25.4
Cinclus_cinclus,61.7
Cinclus_pallasii,76
Cinnyris_asiaticus,8.1
Cissa_chinensis,126.75
Cisticola_exilis,7.05
Cisticola_juncidis,6.85
Clamator_coromandus,77
Clamator_jacobinus,72
Cochoa_purpurea,103
Cochoa_viridis,106.75
Coloeus_monedula,246
Columba_hodgsonii,310.9
Columba_leuconota,284.75
Columba_livia,354.5
Columba_palumbus,490
Columba_pulchricollis,330
Columba_rupestris,245.5
Conostoma_oemodium,84
Copsychus_malabaricus,29.35
Copsychus_saularis,36
Coracias_benghalensis,158
Coracias_garrulus,146
Coracina_macei,118
Coracina_melanoptera,29.6
Coracina_melaschistos,43
Corvus_corax,941
Corvus_corone,570
Corvus_culminatus,336
Corvus_japonensis,487
Corvus_levaillantii,487
Corvus_splendens,293.5
Cuculus_canorus,115
Cuculus_micropterus,119
Cuculus_poliocephalus,47.5
Cuculus_saturatus,90.6
Culicicapa_ceylonensis,7.7
Cutia_nipalensis,47.5
Cyornis_banyumas,14.5
Cyornis_magnirostris,18.71331583
Cyornis_poliogenys,15.7
Cyornis_rubeculoides,14.2
Cyornis_tickelliae,14.6
Cyornis_unicolor,21
Cypsiurus_balasiensis,9.2
Delichon_dasypus,18
Delichon_nipalense,15
Delichon_urbicum,14.5
Dendrocitta_formosae,94
Dendrocitta_frontalis,97
Dendrocitta_vagabunda,100
Dendrocopos_assimilis,NA
Dendrocopos_auriceps,40
Dendrocopos_canicapillus,25.9
Dendrocopos_cathpharius,31
Dendrocopos_darjellensis,71
Dendrocopos_himalayensis,68
Dendrocopos_macei,40.6
Dendrocopos_mahrattensis,34.3
Dendrocopos_nanus,15.8
Dicaeum_agile,9
Dicaeum_chrysorrheum,9
Dicaeum_cruentatum,6.2
Dicaeum_erythrorhynchos,6.3
Dicaeum_ignipectus,5.9
Dicaeum_melanoxanthum,12.5
Dicaeum_minullum,5.9
Dicrurus_aeneus,23.1
Dicrurus_annectans,44
Dicrurus_caerulescens,40
Dicrurus_hottentottus,79.2
Dicrurus_leucophaeus,37.6
Dicrurus_macrocercus,48.3
Dicrurus_paradiseus,71
Dicrurus_remifer,43.1
Dinopium_benghalense,100
Dinopium_shorii,101
Dryonastes_caerulatus,86
Dryonastes_gularis,92
Dryonastes_ruficollis,66.5
Ducula_aenea,545
Ducula_badia,486
Dumetia_hyperythra,12.9
Emberiza_buchanani,21.2
Emberiza_cia,23.45
Emberiza_fucata,19.8
Emberiza_godlewskii,19
Emberiza_pusilla,NA
Emberiza_stewarti,17
Enicurus_immaculatus,25.5
Enicurus_leschenaulti,33.8
Enicurus_maculatus,41
Enicurus_schistaceus,31
Enicurus_scouleri,14
Eremophila_alpestris,30.2
Eremopterix_grisea,16
Eremopterix_nigriceps,14
Erpornis_zantholeuca,11.8
Eudynamys_scolopaceus,180
Eumyias_thalassinus,17.7
Euodice_malabarica,12
Eurystomus_orientalis,138.6
Ficedula_hyperythra,8.2
Ficedula_monileger,11
Ficedula_sapphira,7.8
Ficedula_strophiata,13
Ficedula_subrubra,10.4
Ficedula_superciliaris,8
Ficedula_tricolor,8.3
Ficedula_westermanni,7.8
Fulvetta_ludlowi,12.34
Fulvetta_vinipectus,12
Galerida_cristata,40.5
Gampsorhynchus_rufulus,37
Garrulax_albogularis,98.5
Garrulax_leucolophus,123.5
Garrulax_monileger,84
Garrulax_pectoralis,145.5
Garrulus_glandarius,168
Garrulus_lanceolatus,97.7
Gecinulus_grantia,76.5
Glaucidium_brodiei,58
Glaucidium_cuculoides,162.5
Glaucidium_radiatum,102
Gracula_religiosa,192
Gracupica_contra,84
Grammatoptila_striata,110.5
Grandala_coelicolor,45.6
Haematospiza_sipahi,39.5
Halcyon_coromanda,77.5
Halcyon_smyrnensis,91.4
Harpactes_erythrocephalus,80.3
Harpactes_wardi,119
Hemiprocne_coronata,29
Hemipus_picatus,9
Hemixos_flavala,32.5
Heterophasia_annectans,24.5
Heterophasia_capistrata,39.4
Heterophasia_picaoides,42.4
Heterophasia_pulchella,41
Heteroxenicus_stellatus,23
Hierococcyx_nisicolor,81.05
Hierococcyx_sparverioides,151
Hierococcyx_varius,103
Hirundapus_caudacutus,95.5
Hirundapus_cochinchinensis,83.8
Hirundo_daurica,17.3
Hirundo_fluvicola,9.7
Hirundo_rustica,16
Hirundo_smithii,12.4
Hodgsonius_phaenicuroides,21.1
Hypopicus_hyperythrus,46.75
Hypothymis_azurea,11.1
Hypsipetes_leucocephalus,52.5
Hypsipetes_mcclellandi,32.5
Ianthocincla_ocellata,114
Ianthocincla_rufogularis,63
Indicator_xanthonotus,30.45
Irena_puella,64.9
Jynx_torquilla,35
Ketupa_flavipes,2315
Ketupa_zeylonensis,2315
Lanius_meridionalis,61
Lanius_schach,51.55
Lanius_tephronotus,46.75
Lanius_vittatus,20.8
Leiothrix_argentauris,28.4
Leiothrix_lutea,21.4
Leptopoecile_sophiae,6.9
Leucosticte_brandti,30.4
Leucosticte_nemoricola,22.7
Liocichla_bugunorum,37.2
Liocichla_phoenicea,49
Lioparus_chrysotis,11.79
Lonchura_atricapilla,12.7
Lonchura_punctulata,13.6
Lonchura_striata,12.3
Loriculus_vernalis,27.4
Loxia_curvirostra,38.5
Luscinia_brunnea,17.5
Luscinia_pectoralis,23.35
Luscinia_svecica,17.3
Macronous_gularis,11.45
Macropygia_unchall,168
Malacocincla_abbotti,29.25
Megalaima_asiatica,90.5
Megalaima_australis,33.3
Megalaima_franklinii,63.5
Megalaima_haemacephala,44.55
Megalaima_lineata,149
Megalaima_virens,202
Megalaima_zeylanica,102
Megalurus_palustris,44.85
Melanochlora_sultanea,37.6
Melanocorypha_maxima,75
Melophus_lathami,21.9
Merops_apiaster,56.6
Merops_leschenaulti,27.2
Merops_orientalis,14.8
Merops_persicus,49.3
Merops_philippinus,34
Microhierax_caerulescens,40
Microhierax_melanoleucus,NA
Micropternus_brachyurus,69.5
Minla_cyanouroptera,17
Minla_ignotincta,14.3
Minla_strigula,19.2
Mirafra_assamica,26.2
Mirafra_erythroptera,21.3
Monticola_cinclorhynchus,36
Monticola_rufiventris,53.2
Monticola_solitarius,53.75
Montifringilla_adamsi,37.72681033
Montifringilla_blanfordi,33.65629369
Montifringilla_taczanowskii,NA
Motacilla_alba,22.76
Motacilla_cinerea,17.6
Motacilla_citreola,19.25
Motacilla_maderaspatensis,30.5
Mulleripicus_pulverulentus,461.5
Muscicapa_dauurica,9.8
Muscicapa_ferruginea,12
Muscicapa_ruficauda,13.3
Muscicapa_sibirica,13.2
Muscicapella_hodgsoni,5
Mycerobas_affinis,76.75
Mycerobas_carnipes,59
Mycerobas_icterioides,67
Mycerobas_melanozanthos,62
Myiomela_leucura,25
Myophonus_caeruleus,158
Myzornis_pyrrhoura,11.9
Napothera_epilepidota,16
Niltava_grandis,30.3
Niltava_macgrigoriae,11.9
Niltava_sundara,21.1
Ninox_scutulata,199.5
