"","A2","A3","A4","A6","A7","A8","B1","B2","B3","B4","B5","D1","D3","G1","J1","J2","J4","J5","J6","K1","K2","K4","K5","K6","L1","M1","M2","M3","M4","N1","N2","N3","S1","U3","U4"
"A2",0,0.455652283682073,0.640540615636495,0.701438129436523,0.666871158135849,0.494023935272758,0.696980026326397,0.380400258300723,0.465062812188565,0.572358791382545,0.622333772920932,0.639692313436618,0.869698912455943,0.632279448354194,0.547525916245066,0.571452292755536,0.545154025762883,0.776632567535675,0.535076955354504,0.580962340880615,0.609433559435668,0.847748129095804,0.687415233512508,0.553278035626202,0.58954954231917,0.576123901345559,0.645758395005899,0.560803319849003,0.913088691916725,0.690572288071397,0.565265054545131,0.594963054476774,0.614192914731481,0.511233490577991,0.862511457906215
"A3",0.455652283682073,0,0.506316962001143,0.598124563186502,0.570190775668948,0.597569637955634,0.613057668231017,0.54294847980894,0.604584805561836,0.664813396490752,0.508616903980862,0.685309596065994,0.895905199663854,0.511401846618121,0.613666516234788,0.601114686209776,0.581927554528911,0.802763879892596,0.59784113933694,0.553492089423308,0.526720526442765,0.870153362935551,0.713376777849054,0.612490557287223,0.621319434720664,0.525712555228367,0.555560567075198,0.535672584877713,0.928012152912161,0.586248251564077,0.590925368798573,0.613003530348671,0.480636096495548,0.619293901829358,0.875874669258402
"A4",0.640540615636495,0.506316962001143,0,0.464033716119344,0.457576166733692,0.737440117770129,0.469202071402178,0.709363562985488,0.74455008106716,0.766467056531254,0.474204480684557,0.756939227958672,0.921244750033772,0.573437282352616,0.69854812142444,0.680098622726134,0.665153345307963,0.850018115876628,0.709550611913609,0.650437416726421,0.621555742290682,0.904847544996644,0.767388866503295,0.699189301152088,0.705074101371487,0.624174769839353,0.596220683959848,0.630871227556286,0.947447699908553,0.48995351185272,0.681573092911947,0.699471106075393,0.483400965146743,0.724362194256436,0.905285834073843
"A6",0.701438129436523,0.598124563186502,0.464033716119344,0,0.189006253303283,0.787774887972804,0.275531455915757,0.751678528161988,0.800025186669331,0.820416537084745,0.407913149989186,0.729446955991295,0.911787883427648,0.47032495776115,0.741316209063384,0.686960750674613,0.69118670559339,0.866754372621593,0.722285578970416,0.599758532991542,0.561031820588806,0.898287759157339,0.767716679319351,0.695143912178384,0.656756336243729,0.547889233131204,0.496265725205325,0.60287783685267,0.943556691972898,0.299401872495581,0.631124137675575,0.626600201918819,0.414112593244624,0.749624982386008,0.919577619229237
"A7",0.666871158135849,0.570190775668948,0.457576166733692,0.189006253303283,0,0.763790709427296,0.282590277851429,0.727487041654287,0.783023554367094,0.801733477918425,0.339761040723027,0.711943889480527,0.904322891805368,0.438612869032341,0.714239949945533,0.653899316113056,0.657108657183168,0.842195165676583,0.691895784254774,0.563686970850998,0.530319687030715,0.891248076445467,0.732292394903537,0.657666910448486,0.638766088061351,0.507349370879941,0.463662236805358,0.56038817997147,0.938754566000119,0.279030018108089,0.611195644778304,0.604853276773879,0.341989623962043,0.723516462478383,0.907309854488777
"A8",0.494023935272758,0.597569637955634,0.737440117770129,0.787774887972804,0.763790709427296,0,0.794356952068119,0.37381538573317,0.352988230028222,0.466405311406232,0.741769960569087,0.588596688220754,0.822715744818161,0.728411703356713,0.568641126095828,0.646631156485307,0.602720080431718,0.675642898992818,0.546571541535017,0.694886019216888,0.721242924467287,0.786739484037557,0.589063981303853,0.648119806447107,0.674667988244796,0.69158667836155,0.75452552373884,0.668357157234457,0.876785226867741,0.777111656953172,0.673653751328477,0.660661715853801,0.711292580880739,0.469211051427263,0.803124052644277
"B1",0.696980026326397,0.613057668231017,0.469202071402178,0.275531455915757,0.282590277851429,0.794356952068119,0,0.762803394545178,0.80915705844633,0.82487689233038,0.325210707223713,0.749031562293187,0.918876334454109,0.520991927717893,0.753716903654761,0.696160603405437,0.697246460503699,0.870644392540946,0.733768015447083,0.623687822475724,0.578801249669565,0.904595187374784,0.775598166769393,0.687190620035592,0.679421659065819,0.59558221682269,0.54357223275431,0.598051501736046,0.946783735661762,0.398357462434185,0.662899154934424,0.67442611776572,0.405471896833527,0.762844870729183,0.928689031986215
"B2",0.380400258300723,0.54294847980894,0.709363562985488,0.751678528161988,0.727487041654287,0.37381538573317,0.762803394545178,0,0.364374793028453,0.500330721095252,0.702837919648709,0.596848237282478,0.849752907290432,0.686810081493343,0.527492345068911,0.591103320019822,0.576898082276079,0.727667712825553,0.517560149070717,0.650216518101943,0.67531610902169,0.820099552694666,0.629149347074329,0.591517949765954,0.626726762624138,0.651590004672882,0.714985046653675,0.630563233900233,0.896232923091137,0.742088351681692,0.629574487351836,0.613300277105954,0.679914819815721,0.41796911690667,0.81121994039637
"B3",0.465062812188565,0.604584805561836,0.74455008106716,0.800025186669331,0.783023554367094,0.352988230028222,0.80915705844633,0.364374793028453,0,0.375695143814879,0.760870331734386,0.621267154955912,0.836653376228337,0.737361653953387,0.606030835401908,0.647775458777729,0.61456569373979,0.71367867081821,0.598787740667045,0.704920559862761,0.728113218544703,0.806610570602907,0.598912633485447,0.643322094820019,0.692774629897595,0.694876905047365,0.761180211231879,0.680331737499583,0.886654491394425,0.785434935272641,0.695738759466923,0.676124389201424,0.730002781661203,0.503928236847833,0.808739576527582
"B4",0.572358791382545,0.664813396490752,0.766467056531254,0.820416537084745,0.801733477918425,0.466405311406232,0.82487689233038,0.500330721095252,0.375695143814879,0,0.782595573721016,0.664825404592994,0.820493718459238,0.767592323462659,0.613302796383129,0.666303559764734,0.621289756532822,0.640231785088592,0.644478202237987,0.736993457013999,0.755483098020927,0.787705800957054,0.601072820637022,0.672557804598072,0.730437669028181,0.725030501984547,0.788134489005374,0.715371279601309,0.875263147173263,0.807701428227509,0.732699926045367,0.717547840994044,0.755963061752594,0.57575819231985,0.783601258320624
